talk_id,title,speaker,recorded_date,published_date,event,duration,views,likes
1.0,Averting the climate crisis,Al Gore,2006-02-25,2006-06-27,TED2006,957.0,3681537.0,110000.0
7.0,Simplicity sells,David Pogue,2006-02-24,2006-06-27,TED2006,1266.0,2012797.0,60000.0
53.0,Greening the ghetto,Majora Carter,2006-02-26,2006-06-27,TED2006,1096.0,3006315.0,90000.0
92.0,The best stats you've ever seen,Hans Rosling,2006-02-22,2006-06-27,TED2006,1176.0,15432904.0,462000.0
66.0,Do schools kill creativity?,Sir Ken Robinson,2006-02-25,2006-06-27,TED2006,1151.0,73935964.0,2200000.0
86.0,Letting go of God,Julia Sweeney,2006-02-24,2006-07-10,TED2006,978.0,4836214.0,145000.0
49.0,Behind the design of Seattle's library,Joshua Prince-Ramus,2006-02-23,2006-07-10,TED2006,1184.0,1261975.0,37000.0
71.0,A life of purpose,Rick Warren,2006-02-25,2006-07-18,TED2006,1248.0,4300620.0,129000.0
94.0,Let's teach religion -- all religion -- in schools,Dan Dennett,2006-02-02,2006-07-18,TED2006,1471.0,4227594.0,126000.0
54.0,My wish: A call for open-source architecture,Cameron Sinclair,2006-02-26,2006-07-25,TED2006,1394.0,1372030.0,41000.0
55.0,My wish: A global day of film,Jehane Noujaim,2006-02-26,2006-07-25,TED2006,1524.0,491578.0,14000.0
58.0,My wish: Help me stop pandemics,Larry Brilliant,2006-02-23,2006-07-25,TED2006,1536.0,1425026.0,42000.0
41.0,One Laptop per Child,Nicholas Negroponte,2006-02-23,2006-08-01,TED2006,1043.0,496750.0,14000.0
65.0,The radical promise of the multi-touch interface,Jeff Han,2006-02-06,2006-08-01,TED2006,514.0,4849005.0,145000.0
46.0,"Improvising on piano, aged 14",Jennifer Lin,2004-02-26,2006-08-08,TED2004,1431.0,1874170.0,56000.0
45.0,An 11-year-old's magical violin,Sirena Huang,2006-02-23,2006-08-08,TED2006,1467.0,3384299.0,101000.0
27.0,"Organic design, inspired by nature",Ross Lovegrove,2005-02-25,2006-08-15,TED2005,1156.0,1332394.0,39000.0
